Fecha,Fin_Recoleccion,Encuesta,Apruebo,Rechazo,NS/NC,N,Enlae
2022-03-04,,Cadem,44,37,19,,https://cadem.cl/estudios/con-la-informacion-disponible-hasta-hoy-44-3pts-votaria-apruebo-en-el-plebiscito-de-salida-y-37-5pts-rechazaria-el-19-no-sabe-o-no-responde/
2022-03-11,,Cadem,42,35,23,,
2022-03-20,,Cadem,46,33,21,,https://cadem.cl/estudios/plaza-publica-427-presidente-boric-debuta-con-50-de-aprobacion-sin-diferencias-con-pinera-2010-52-bachelet-2014-52-y-pinera-2018-51/
2022-03-20,,Pulso Ciudadano,37.7,31.2,31.1,1004,https://chile.activasite.com/estudios/pulso-ciudadano-48/
2022-03-25,,Cadem,46,36,18,,
2022-04-03,,Pulso Ciudadano,32,35.8,32.2,1521,https://chile.activasite.com/estudios/pulso-ciudadano-49/
2022-04-04,,Cadem,40,46,14,,https://cadem.cl/estudios/plaza-publica-429-rechazo-en-el-plebiscito-de-salida-sube-10-puntos-a-46-y-supera-por-primera-vez-al-apruebo-40-6pts/
2022-04-04,,DataVoz,40.87,47.95,11.18,,https://www.datavoz.cl/parte-ii-la-convencion-bajo-presion/
2022-04-06,,Data Influye,39,38,,,https://twitter.com/tusnoticiascl/status/1511799120859594758
2022-04-07,,Criteria,33,30,,,https://www.latercera.com/politica/noticia/encuesta-criteria-intencion-de-voto-del-rechazo-en-el-plebiscito-de-salida-aumenta-en-9-puntos-y-llega-a-un-30/YBET4CX7LFAORLQ53646IYNU7M/
2022-04-10,,Cadem,39,44,17,,https://cadem.cl/estudios/plaza-publica-n430-se-mantiene-diferencia-en-favor-del-rechazo-44-2pts-en-el-plebiscito-de-salida-vs-39-1pt-que-votaria-apruebo/
2022-04-17,,Pulso Ciudadano,32.2,36.8,31,1326,https://twitter.com/rodrigovega/status/1515766470659088387/photo/4
2022-04-17,,Cadem,38,45,17,,https://cadem.cl/estudios/plaza-publica-431-desaprobacion-50-9pts-al-presidente-boric-supera-por-primera-vez-a-la-aprobacion-40-4pts-y-completa-un-alza-de-30pts-en-5-semanas/
2022-04-24,,Cadem,37,46,17,,https://cadem.cl/estudios/plaza-publica-432-aprobacion-al-presidente-boric-sigue-retrocediendo-y-llega-a-36-mientras-que-la-desaprobacion-sube-a-53/
2022-04-24,,Criteria,32,33,35,,https://www.latercera.com/la-tercera-domingo/noticia/la-senal-de-alerta-a-la-convencion-pesimismo-sobre-el-proceso-constituyente-sube-19-puntos-en-tres-meses-y-llega-a-56/MKGSPY7CHNDJZICC3CZVQT3Y2I/
2022-04-29,,La Cosa Nostra,40,58,2,,https://twitter.com/josemdelpino/status/1520106227249819648
2022-05-01,,Pulso Ciudadano,29.1,40.5,30.4,1043,https://twitter.com/josemdelpino/status/1520782439303417856
2022-05-01,,Cadem,36,46,18,,https://cadem.cl/estudios/aprobacion-de-la-ministra-del-interior-izkia-siches-cae-a-33-12pts-y-su-desaprobacion-llega-a-63-13pts/
2022-05-05,,Criteria,31,39,30,,https://twitter.com/CriteriaChile/status/1522189663355686912
2022-05-05,,Data Influye,37,46,17,,https://www.t13.cl/noticia/nacional/data-influye-desaprobacion-mandato-gobierno-gabriel-boric-sube-14-puntos-04-05-2022
2022-05-08,,Cadem,35,48,17,,https://cadem.cl/estudios/plaza-publica-434-13-puntos-separan-esta-semana-al-rechazo-48-del-apruebo-35-en-el-plebiscito-de-salida/
2022-05-15,,Pulso Ciudadano,27.1,45.6,27.4,1016,https://www.t13.cl/noticia/nacional/pulso-ciudadano-rechazo-al-plebiscito-salida-nueva-constitucion-estaria-456
2022-05-15,,Cadem,38,46,16,,https://cadem.cl/estudios/plaza-pubica-435-despues-de-6-semanas-mejoran-expectativas-del-apruebo-38-3pts-en-el-plebiscito-de-salida-pero-sigue-con-una-diferencia-significativa-por-debajo-del-rechazo-46-2pts/
2022-05-22,,Cadem,37,46,17,,https://cadem.cl/estudios/plaza-pubica-436-evelyn-matthei-es-la-figura-politica-mejor-evaluada-61-y-daniel-jadue-el-personaje-con-mas-baja-aprobacion-23/
2022-05-29,,Cadem,37,45,18,,https://cadem.cl/estudios/plaza-publica-437-desaprobacion-al-presidente-boric-sube-a-57-7pts-su-nivel-mas-alto-desde-que-asumiera-el-11-de-marzo/
2022-05-29,,Pulso Ciudadano,28.5,45.2,26.3,,https://www.biobiochile.cl/noticias/nacional/chile/2022/05/29/pulso-ciudadano-aprobacion-de-boric-sube-33-puntos-y-rechazo-a-constitucion-sigue-arriba-con-452.shtml
2022-06-01,,Data Influye,40,45,15,,https://www.publimetro.cl/noticias/2022/06/01/encuesta-data-influye-rechazo-alcanza-el-45-y-apruebo-sube-al-40-en-plebiscito-de-salida/
2022-06-02,,Criteria,31,39,30,,https://www.emol.com/noticias/Nacional/2022/06/02/1062833/encuesta-criteria-junio-2022.html
2022-06-05,,Cadem,42,45,13,,https://cadem.cl/estudios/plaza-publica-438-aprobacion-al-presidente-boric-aumenta-a-44-8pts-y-opcion-apruebo-en-el-plebiscito-de-salida-llega-a-42-5pts-quedando-a-solo-3pts-del-rechazo-45/
2022-06-09,,CEP,25,27,48,1355,https://www.cepchile.cl/cep/site/docs/20220608/20220608124401/encuestacep_abril_mayo2022.pdf
2022-06-12,,Pulso Ciudadano,29.7,41.9,28.4,1247,https://chile.activasite.com/estudios/pulso-ciudadano-54/
2022-06-12,,Cadem,39,43,18,,https://cadem.cl/estudios/plaza-publica-439-cae-el-apruebo-39-3pts-y-el-rechazo-43-2pts-de-cara-al-plebiscito-aumentan-los-indecisos-18-5pts/
